pk	pn	lat	lon	link
C111	Kalamata: Kastro	37.045748	22.117055	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C111
C1110	Pourko: Ayios Demetrios	36.173534	22.965494	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1110
C1111	Lioni (Kythera)	36.156741	22.978951	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1111
C1112	Lioni: Hab	36.158654	22.981346	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1112
C1113	Kastri (Skandeia?)	36.221402	23.058998	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1113
C1114	Lymbiada	37.176164	22.683017	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1114
C1115	Palaiochori: Kotroni etc.	37.157167	22.721054	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1115
C1116	Palaiokhori: Mikri Tourla	37.157486	22.712012	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1116
C1117	Kotroni: Hab	37.159608	22.715089	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1117
C1118	Kotroni: Kalyvia	37.199757	22.768944	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1118
C1119	Plaka/Prasia (Leonidi Skala)	37.148584	22.890109	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1119
C112	Tragana: Kapoureika	37.023298	21.6727	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C112
C1120	Analipsis	37.327151	22.450731	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1120
C1121	Analipsis: Cem	37.331423	22.442701	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1121
C1122	Analipsis: Tholos	37.33061	22.441568	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1122
C1123	Belmina: Kanalaki	37.275534	22.254088	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1123
C1124	Pellana: Cem	37.212627	22.321612	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1124
C1125	Pellanes: Kastro	37.208179	22.324373	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1125
C1126	Kipoula	36.511326	22.354285	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1126
C1127	Spira	36.507854	22.484549	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1127
C1128	Mavrouvouni: Cem	36.731291	22.538733	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1128
C1129	Gythion: Cranae/Kranai	36.753902	22.572477	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1129
C113	Pidima: Ayios Ioannis	37.133617	22.045642	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C113
C1130	Lagio	36.821711	22.590484	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1130
C1131	Paizoulia	36.796485	22.585677	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1131
C1132	Stena	36.571909	22.979546	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1132
C1133	Stena: Cem	36.57054	22.981132	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1133
C1134	Ayios Yeoryios: Cem	36.542122	23.001562	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1134
C1135	Neapolis	36.519648	23.045871	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1135
C1136	Elaphonisi: Panayia	36.486418	22.943137	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1136
C1137	Elaphonisi Village	36.502114	22.974949	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1137
C1138	Pavlopetri	36.516448	22.98931	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1138
C1139	Daimonia: Kastelli	36.644754	22.888511	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1139
C114	Ayios Floros: Kamaria	37.183011	22.010012	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C114
C1140	Ayios Ioannis: Acropolis	36.741041	23.010726	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1140
C1141	Kollyri: Sherds	36.755254	22.979909	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1141
C1142	Epidauros Limera	36.73075	23.025041	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1142
C1143	Epidauros Limera: Cem	36.726386	23.023124	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1143
C1144	Anemomylo	36.772925	22.927136	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1144
C1145	Plitra: Goulas	36.693449	22.82192	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1145
C1146	Elea/Elaia Molaon	36.749778	22.800489	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1146
C1147	Gangania	36.841541	22.834846	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1147
C1148	Apidhia/Apidia	36.880474	22.792872	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1148
C1149	Skala: Ayios Nikolaos	36.850738	22.66174	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1149
C115	Ayios Floros	37.169031	22.028784	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C115
C1150	Vlakhioti: Kokkinadha	36.865618	22.694663	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1150
C1151	Sikea: Cem	36.758566	22.9438	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1151
C1152	Ayios Stephanos: South	36.824933	22.632443	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1152
C1153	Peristeri: Solakoi	36.876161	22.676542	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1153
C1154	Skala: Anemomylos	36.858238	22.675754	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1154
C1155	Ayios Ioannis	36.845011	22.644804	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1155
C1156	Stephania: Lekas (site to SW)	36.845138	22.62263	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1156
C1157	Stafylos	39.083397	23.751651	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1157
C1158	Skyros: Kastro	38.907097	24.569004	http://helladic.info/DEV/MAP/MAPC/pkey_report_wparam.php?place=C1158
